Stock name,Symbol,Link
Oberoi Realty Limited,OBEROIRLTY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OBEROIRLTY"""
Oriental Carbon & Chemicals Limited,OCCL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OCCL"""
OCCL Ltd,OCCLLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OCCLLTD"""
Odigma Consultancy Solutions Ltd,ODIGMA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ODIGMA"""
Oracle Financial Services Software Limited,OFSS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OFSS"""
Oil India Limited,OIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OIL"""
Oil Country Tubular Limited,OILCOUNTUB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OILCOUNTUB"""
ICICI Prudential Nifty Oil & Gas ETF,OILIETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OILIETF"""
Ola Electric Mobility Ltd,OLAELEC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OLAELEC"""
Olectra Greentech Ltd,OLECTRA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OLECTRA"""
Omax Autos Limited,OMAXAUTO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OMAXAUTO"""
Omaxe Limited,OMAXE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OMAXE"""
Om Infra Ltd,OMINFRAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OMINFRAL"""
Omkar Speciality Chemicals Limited,OMKARCHEM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OMKARCHEM"""
Onelife Capital Advisors Limited,ONELIFECAP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ONELIFECAP"""
One Point One Solutions Ltd,ONEPOINT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ONEPOINT"""
OneSource Specialty Pharma Ltd,ONESOURCE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ONESOURCE"""
Oil & Natural Gas Corporation Limited,ONGC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ONGC"""
Onmobile Global Limited,ONMOBILE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ONMOBILE"""
Onward Technologies Limited,ONWARDTEC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ONWARDTEC"""
Optiemus Infracom Ltd,OPTIEMUS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OPTIEMUS"""
Orbit Exports Limited,ORBTEXP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORBTEXP"""
Orchasp Ltd,ORCHASP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORCHASP"""
Orchid Pharma Ltd,ORCHPHARMA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORCHPHARMA"""
Oricon Enterprises Limited,ORICONENT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORICONENT"""
Oriental Trimex Limited,ORIENTALTL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORIENTALTL"""
Orient Bell Limited,ORIENTBELL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORIENTBELL"""
Orient Cement Limited,ORIENTCEM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORIENTCEM"""
Orient Ceratech Ltd,ORIENTCER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORIENTCER"""
Orient Electric Ltd,ORIENTELEC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORIENTELEC"""
Oriental Hotels Limited,ORIENTHOT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORIENTHOT"""
Orient Press Limited,ORIENTLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORIENTLTD"""
Orient Paper & Industries Limited,ORIENTPPR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORIENTPPR"""
Orient Technologies Ltd,ORIENTTECH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORIENTTECH"""
The Orissa Minerals Development Company Limited,ORISSAMINE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORISSAMINE"""
Ortin Laboratories Ltd,ORTINGLOBE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ORTINGLOBE"""
Osia Hyper Retail Ltd,OSIAHYPER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OSIAHYPER"""
Oswal Agro Mills Ltd,OSWALAGRO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OSWALAGRO"""
Oswal Green Tech Ltd,OSWALGREEN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OSWALGREEN"""
Shreeoswal Seeds & Chemicals Ltd,OSWALSEEDS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:OSWALSEEDS"""
Page Industries Limited,PAGEIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PAGEIND"""
Paisalo Digital Ltd,PAISALO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PAISALO"""
Pakka Ltd,PAKKA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PAKKA"""
Palash Securities,PALASHSECU,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PALASHSECU"""
Palred Technologies Limited,PALREDTEC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PALREDTEC"""
Panacea Biotec Limited,PANACEABIO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PANACEABIO"""
Panache Digilife Ltd,PANACHE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PANACHE"""
Panama Petrochem Limited,PANAMAPET,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PANAMAPET"""
Par Drugs & Chemicals Ltd,PAR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PAR"""
Paramount Communications Limited,PARACABLES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PARACABLES"""
Paradeep Phosphates Ltd,PARADEEP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PARADEEP"""
Parag Milk Foods Limited,PARAGMILK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PARAGMILK"""
Paras Defence and Space Technologies Ltd,PARAS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PARAS"""
Paras Petrofils Limited,PARASPETRO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PARASPETRO"""
Apeejay Surrendra Park Hotels Ltd,PARKHOTELS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PARKHOTELS"""
Parsvnath Developers Limited,PARSVNATH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PARSVNATH"""
Pasupati Acrylon Ltd,PASUPTAC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PASUPTAC"""
Patanjali Foods Ltd,PATANJALI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PATANJALI"""
Patel Engineering Limited,PATELENG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PATELENG"""
Patel Integrated Logistics Limited,PATINTLOG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PATINTLOG"""
Pavna Industries Ltd,PAVNAIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PAVNAIND"""
One 97 Communications Ltd,PAYTM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PAYTM"""
PCBL Ltd,PCBL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PCBL"""
Pc Jeweller Limited,PCJEWELLER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PCJEWELLER"""
Pudumjee Paper Products Limited,PDMJEPAPER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PDMJEPAPER"""
PDS Ltd,PDSL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PDSL"""
Pearl Polymers Limited,PEARLPOLY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PEARLPOLY"""
Piramal Enterprises Limited,PEL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PEL"""
Pennar Industries Limited,PENIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PENIND"""
Persistent Systems Limited,PERSISTENT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:PERSISTENT"""
