Stock name,Symbol,Link
Rajesh Exports Limited,RAJESHEXPO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAJESHEXPO"""
Rajnandini Metal Ltd,RAJMET,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAJMET"""
Rajratan Global Wire Ltd,RAJRATAN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAJRATAN"""
Raj Rayon Industries Ltd,RAJRILTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAJRILTD"""
Rajshree Sugars & Chemicals Limited,RAJSREESUG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAJSREESUG"""
Raj Television Network Limited,RAJTV,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAJTV"""
Rallis India Limited,RALLIS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RALLIS"""
Shree Rama Newsprint Limited,RAMANEWS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAMANEWS"""
Rama Phosphates Ltd,RAMAPHO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAMAPHO"""
Rama Steel Tubes Limited,RAMASTEEL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAMASTEEL"""
The Ramco Cements Limited,RAMCOCEM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAMCOCEM"""
Ramco Industries Limited,RAMCOIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAMCOIND"""
Ramco Systems Limited,RAMCOSYS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAMCOSYS"""
Ramky Infrastructure Limited,RAMKY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAMKY"""
Ram Ratna Wires Ltd,RAMRAT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAMRAT"""
Rana Sugars Limited,RANASUG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RANASUG"""
Rane Engine Valve Limited,RANEENGINE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RANEENGINE"""
Rane Holdings Limited,RANEHOLDIN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RANEHOLDIN"""
Rategain Travel Technologies Ltd,RATEGAIN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RATEGAIN"""
Ratnamani Metals & Tubes Limited,RATNAMANI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RATNAMANI"""
Ratnaveer Precision Engineering Ltd,RATNAVEER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RATNAVEER"""
Raymond Limited,RAYMOND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAYMOND"""
Raymond Lifestyle Ltd,RAYMONDLSL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RAYMONDLSL"""
Restaurant Brands Asia Ltd,RBA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RBA"""
Rane Brake Lining Limited,RBL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RBL"""
Rbl Bank Limited,RBLBANK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RBLBANK"""
RBZ Jewellers Ltd,RBZJEWEL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RBZJEWEL"""
Rashtriya Chemicals And Fertilizers Limited,RCF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RCF"""
Rural Electrification Corporation Limited,RECLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RECLTD"""
Redington (india) Limited,REDINGTON,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:REDINGTON"""
Redtape Ltd,REDTAPE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:REDTAPE"""
Refex Industries Limited,REFEX,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:REFEX"""
Regency Ceramics Limited,REGENCERAM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:REGENCERAM"""
Relaxo Footwears Limited,RELAXO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RELAXO"""
Reliance Chemotex Industries Ltd,RELCHEMQ,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RELCHEMQ"""
Reliable Data Services Ltd,RELIABLE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RELIABLE"""
Reliance Industries Limited,RELIANCE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RELIANCE"""
Religare Enterprises Limited,RELIGARE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RELIGARE"""
Reliance Infrastructure Limited,RELINFRA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RELINFRA"""
Ravindra Energy Ltd,RELTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RELTD"""
Remsons Industries Limited,REMSONSIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:REMSONSIND"""
Shree Renuka Sugars Limited,RENUKA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:RENUKA"""
Repco Home Finance Limited,REPCOHOME,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:REPCOHOME"""
